chr1	4764597	4767605
chr1	4764597	4767605
chr1	4857613	4868107
chr1	4868213	4876824
chr1	4857613	4868107
chr1	4868213	4876824
chr1	6218130	6220039
chr1	6720321	6727660
chr1	7110696	7137717
chr1	7137820	7150972
chr1	7137820	7150972
chr1	8669211	8672053
chr1	8669211	8672053
chr1	8669211	8672053
chr1	9779861	9781205
chr1	10020791	10022419
chr1	10086094	10094292
chr1	10123354	10124172
chr1	10132825	10134798
chr1	10141954	10143466
chr1	10153868	10162914
chr1	10164276	10169906
chr1	10174578	10178837
chr1	10179759	10184337
chr1	10164276	10169906
chr1	10174578	10178837
chr1	10179759	10184337
chr1	11139976	11143623
chr1	11160156	11160664
chr1	11139976	11143623
chr1	12826410	12828439
chr1	12826410	12828439
chr1	12826410	12828439
chr1	13112712	13114443
chr1	13112712	13114443
chr1	13137045	13138397
chr1	13152369	13156976
chr1	13165429	13167154
chr1	13174444	13176813
chr1	13137045	13138397
chr1	13152369	13154976
chr1	13165429	13167154
chr1	13174444	13176813
chr1	13137045	13138397
chr1	13152369	13156976
chr1	13165429	13167154
chr1	13174444	13176813
chr1	13165429	13167154
chr1	13174444	13176813
chr1	13165429	13167154
chr1	13174444	13176813
chr1	13174444	13176813
chr1	14169661	14173237
chr1	14292978	14294505
chr1	14169661	14173237
chr1	14292978	14294505
chr1	14294555	14299726
chr1	14169661	14173237
chr1	14292978	14294505
chr1	14294555	14299726
chr1	14169661	14173237
chr1	14294555	14299726
chr1	14877746	14879474
chr1	15823570	15828262
chr1	15823570	15828262
chr1	17150119	17151207
chr1	17714670	17717179
chr1	19204490	19209273
chr1	19204490	19209273
chr1	19204490	19209273
chr1	19204490	19209273
chr1	20349055	20351066
chr1	20527489	20530394
chr1	20722388	20723702
chr1	20794988	20795343
chr1	20922320	20924662
chr1	20922320	20924662
chr1	20965120	20968723
chr1	20979683	20980697
chr1	22278721	22280140
chr1	22278721	22280140
chr1	22369621	22387531
chr1	22402375	22411821
chr1	22490092	22491480
chr1	22278721	22280140
chr1	22369621	22387531
chr1	22490092	22491480
chr1	22278721	22280140
chr1	22369621	22387531
chr1	22490092	22491480
chr1	22278721	22280140
chr1	22369621	22387531
chr1	22490092	22491480
chr1	22278721	22280140
chr1	22369621	22387531
chr1	22490092	22491480
chr1	22490092	22491480
chr1	23399850	23404352
chr1	23860389	23865861
chr1	23865952	23873055
chr1	23860389	23865861
chr1	23865952	23873055
chr1	23860389	23865861
